integer,integer,text,text,text,numeric,numeric,numeric,numeric,numeric,,,,,
2022,1,"Reed, Harris and Wilson",SKU2390,Spirits,419.74,151,33.87,123,174,,,TRUE,TRUE,TRUE
2022,1,Cook-Gregory,SKU2431,Beer,152.85,139,31.31,285,270,,,TRUE,TRUE,TRUE
2022,1,"MOORE, NOBLE AND WALLACE",SKU2444,Cider,280.64,91,N/A,197,254,,,TRUE,TRUE,TRUE
2022,1,Edwards-Hudson,SKU2463,Spirits,61.17,21,7.32,115,408,,,TRUE,TRUE,TRUE
2022,1,Baxter LLC,SKU2479,Spirits,166.65,150,35.93,-219,48,,,TRUE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU2480,Wine,264.58,139,40.12,299,453,,,TRUE,TRUE,TRUE
2022,1,Baxter LLC,SKU2572,Spirits,429.86,85,20.41,214,297,,,TRUE,TRUE,TRUE
2022,1,Glover-Johnson,SKU2648,Cider,9.94,34,32.31,336,-313,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU2719,Mixer,227.38,182,10.09,164,28,,,TRUE,TRUE,TRUE
2022,1,Baker Group,SKU2724,Beer,217,16,33.12,310,303,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU2745,Spirits,160.4,94,22.14,459,365,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU2800,Mixer,74.06,163,9.6,409,199,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU2839,Beer,150.49,141,28.21,244,114,,,TRUE,TRUE,TRUE
2022,1,Haynes LLC,SKU2857,Beer,406.19,103,20.72,163,429,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU2874,Beer,,34,19.87,178,83,,,FALSE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU2877,Mixer,159.07,84,5.11,83,89,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Fleming and Adkins",SKU2890,Cider,271.14,99,17.67,46,97,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU2902,Mixer,313.37,51,19.39,330,382,,,TRUE,TRUE,TRUE
2022,1,Vance Inc,SKU3084,Cider,451.75,10,43.92,200,156,,,TRUE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU3091,Beer,77.38,178,10.48,340,169,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Young and Garcia",SKU3105,Mixer,334.56,100,33.09,117,324,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU3154,Beer,179.52,78,24.13,94,34,,,TRUE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU3230,Mixer,200.99,31,25.19,126,197,,,TRUE,TRUE,TRUE
2022,1,Rice Ltd,SKU3249,Mixer,215.6,8,15.38,220,41,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU3251,Wine,204.33,68,37.76,101,109,,,TRUE,TRUE,TRUE
2022,1,"ROBINSON, YOUNG AND GARCIA",SKU3274,Spirits,,104,36.16,163,288,,,FALSE,TRUE,TRUE
2022,1,"Robinson, Young and Garcia",SKU3294,Spirits,126.24,25,45.88,116,38,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU3341,Spirits  ,59.87,133,18.81,-146,386,,,TRUE,TRUE,TRUE
2022,1,Guerrero-Sullivan,SKU3364,Beer,415.27,150,27.24,97,408,,,TRUE,TRUE,TRUE
2022,1,Holt Ltd,SKU3397,Beer,209.55,129,46.28,131,45,,,TRUE,TRUE,TRUE
2022,1,Baxter LLC,SKU3539,Cider  ,,18,47.26,387,222,,,FALSE,TRUE,TRUE
2022,1,Mccoy Ltd,SKU3598,Beer,21.84,162,8.87,-153,336,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU3647,Mixer  ,379.95,171,45.04,94,306,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU3651,Spirits,272.35,157,35.01,486,384,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU3676,Wine,0.8,163,16.14,196,266,,,TRUE,TRUE,TRUE
2022,1,"Hanson, Morris and Moran",SKU3706,Cider,418.22,117,28.37,142,374,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU3710,Spirits,246.1,181,17.6,105,364,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU3734,Wine,32.28,175,12.58,136,70,,,TRUE,TRUE,TRUE
2022,1,Guerrero-Sullivan,SKU3892,Wine,228.97,20,21.47,302,358,,,TRUE,TRUE,TRUE
2022,1,Romero Inc,SKU3991,Mixer,106.3,108,11.3,227,68,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU4011,Wine,272.59,16,10.27,284,448,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU4022,Wine,2.55,173,23.08,263,244,,,TRUE,TRUE,TRUE
2022,1,Black-Powers,SKU4064,Wine  ,59.59,59,31.62,4,493,,,TRUE,TRUE,TRUE
2022,1,Rice Ltd,SKU4114,Cider,405.62,86,10.28,242,175,,,TRUE,TRUE,TRUE
2022,1,Douglas PLC,SKU4200,Beer  ,99.42,149,,460,176,,,TRUE,TRUE,TRUE
2022,1,Baker Group,SKU4201,Beer,130.24,187,46.29,214,329,,,TRUE,TRUE,TRUE
2022,1,"Sutton, Rogers and Rodriguez",SKU4221,Spirits,175.85,102,20.08,219,306,,,TRUE,TRUE,TRUE
2022,1,Contreras and Sons,SKU4234,Mixer,324.14,13,34.97,28,245,,,TRUE,TRUE,TRUE
2022,1,"Perez, Ray and Miller",SKU4372,Cider,missing,89,34.15,379,344,,,FALSE,TRUE,TRUE
2022,1,Jones-Jensen,SKU4423,Mixer,415.83,62,47.93,476,436,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU4426,Beer,274.88,19,,219,16,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU4447,Cider,338.83,150,47.3,192,352,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU4449,Cider,427.58,5,43.37,37,163,,,TRUE,TRUE,TRUE
2022,1,Cobb Group,SKU4457,Spirits,297.33,58,44.01,335,344,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU4468,Mixer,473.64,69,7.05,61,231,,,TRUE,TRUE,TRUE
2022,1,"Mcknight, Lopez and Wilson",SKU4469,Beer,338.66,69,N/A,258,306,,,TRUE,TRUE,TRUE
2022,1,Lambert Inc,SKU4483,Spirits,36.13,107,49.75,57,391,,,TRUE,TRUE,TRUE
2022,1,Richardson-Ferguson,SKU4520,Spirits,409.76,164,7.62,76,69,,,TRUE,TRUE,TRUE
2022,1,Moore-Williams,SKU4548,Wine,203.51,137,12.56,145,206,,,TRUE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU4568,Spirits,326.91,175,17.78,391,46,,,TRUE,TRUE,TRUE
2022,1,Romero Inc,SKU4579,Spirits,329.74,66,19.63,223,394,,,TRUE,TRUE,TRUE
2022,1,Contreras and Sons,SKU4655,Cider  ,194.83,1,49.34,402,124,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU4694,Cider,173.79,91,,52,292,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU4714,Beer,159.57,68,17.9,110,185,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU4735,Wine,175.75,57,28.22,495,264,,,TRUE,TRUE,TRUE
2022,1,Thomas-Campos,SKU4740,Mixer,379.01,11,49.93,155,61,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU4780,Wine,455.35,51,32.69,496,302,,,TRUE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU4917,Wine  ,197.97,54,26.43,159,89,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU4976,Mixer,208.41,121,7.69,184,435,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU5057,Mixer,487.08,179,41.15,271,421,,,TRUE,TRUE,TRUE
2022,1,Contreras and Sons,SKU5166,Spirits,159.57,54,16.91,102,266,,,TRUE,TRUE,TRUE
2022,1,Bauer LLC,SKU5213,Spirits,438.52,111,5.63,473,247,,,TRUE,TRUE,TRUE
2022,1,Douglas PLC,SKU5218,Spirits,472.05,105,22.91,436,364,,,TRUE,TRUE,TRUE
2022,1,"Mcknight, Lopez and Wilson",SKU5231,Mixer,230.47,159,42.03,204,227,,,TRUE,TRUE,TRUE
2022,1,"Riddle, Robinson and Banks",SKU5279,Cider,269.17,47,5.88,242,432,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU5307,Spirits,132.69,84,15.78,61,280,,,TRUE,TRUE,TRUE
2022,1,"Riddle, Robinson and Banks",SKU5372,Wine,,70,43.83,96,285,,,FALSE,TRUE,TRUE
2022,1,Vance Inc,SKU5397,Mixer,,158,49.24,463,407,,,FALSE,TRUE,TRUE
2022,1,"ROBINSON, FLEMING AND ADKINS",SKU5436,Wine,227.38,138,27.28,492,220,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU5484,Beer  ,482.95,131,33.49,103,379,,,TRUE,TRUE,TRUE
2022,1,"HANSON, MORRIS AND MORAN",SKU5510,Beer,202.25,86,27.59,75,22,,,TRUE,TRUE,TRUE
2022,1,"Perez, Ray and Miller",SKU5512,Wine,314.04,122,49.54,397,41,,,TRUE,TRUE,TRUE
2022,1,Baker Group,SKU5652,Cider,32.63,77,37.74,2,348,,,TRUE,TRUE,TRUE
2022,1,Vance Inc,SKU5661,Cider,,150,47.65,436,142,,,FALSE,TRUE,TRUE
2022,1,Lambert Inc,SKU5667,Cider,366.43,146,9.36,338,168,,,TRUE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU5710,Cider,115.51,99,29.02,15,318,,,TRUE,TRUE,TRUE
2022,1,Moore-Williams,SKU5715,Spirits  ,,171,6.66,183,479,,,FALSE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU5732,Cider,222.83,37,31.47,76,92,,,TRUE,TRUE,TRUE
2022,1,"Moore, Noble and Wallace",SKU5836,Spirits,464.89,198,31.4,331,481,,,TRUE,TRUE,TRUE
2022,1,Cook-Gregory,SKU5864,Beer,187.52,178,30.67,57,7,,,TRUE,TRUE,TRUE
2022,1,Black-Powers,SKU5897,Cider  ,447.14,198,49.69,306,280,,,TRUE,TRUE,TRUE
2022,1,Cook-Gregory,SKU5936,Cider,177.32,46,17.49,361,379,,,TRUE,TRUE,TRUE
2022,1,Rice Ltd,SKU5965,Wine,442.56,121,42.39,475,273,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Young and Garcia",SKU6011,Beer  ,158.6,48,43.99,297,431,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU6015,Wine,136.69,119,43.94,452,17,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU6095,Mixer,349.48,31,27.12,147,213,,,TRUE,TRUE,TRUE
2022,1,Glover-Johnson,SKU6097,Spirits,47.65,85,45.92,301,422,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU6119,Spirits,492.12,6,34.58,143,282,,,TRUE,TRUE,TRUE
2022,1,Bauer LLC,SKU6227,Beer,494.2,11,29.22,14,-355,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Fleming and Adkins",SKU6273,Wine,378.91,109,27.33,99,338,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU6377,Beer,missing,160,25.61,496,121,,,FALSE,TRUE,TRUE
2022,1,"Martinez, Fry and Wallace",SKU6390,Cider,57.61,156,45.26,376,99,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU6432,Spirits,437.4,110,26.27,286,31,,,TRUE,TRUE,TRUE
2022,1,Lambert Inc,SKU6477,Wine,287.37,15,18.05,227,322,,,TRUE,TRUE,TRUE
2022,1,Edwards-Hudson,SKU6484,Cider,324.53,38,16.08,251,469,,,TRUE,TRUE,TRUE
2022,1,"Perez, Ray and Miller",SKU6508,Mixer,335.54,162,16.65,7,283,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU6518,Beer,,128,9.95,431,50,,,FALSE,TRUE,TRUE
2022,1,Johnson Group,SKU6584,Beer,376.07,143,21.87,79,118,,,TRUE,TRUE,TRUE
2022,1,Hall PLC,SKU6667,Mixer,216.13,67,13.07,18,116,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU6706,Spirits,499.59,116,35.66,385,268,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU6739,Wine,11.05,128,17.05,467,24,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU6787,Beer,358.03,39,31.35,341,166,,,TRUE,TRUE,TRUE
2022,1,Bauer LLC,SKU6847,Wine,117.08,25,24.26,331,333,,,TRUE,TRUE,TRUE
2022,1,Padilla-Marquez,SKU6925,Cider,138.35,4,47.63,183,479,,,TRUE,TRUE,TRUE
2022,1,Graham Inc,SKU6995,Mixer,20.71,160,23.18,13,98,,,TRUE,TRUE,TRUE
2022,1,"Sutton, Rogers and Rodriguez",SKU7024,Mixer,224.64,179,15.78,407,76,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU7049,Cider,367.83,167,6.52,414,189,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU7107,Mixer,323.91,89,21.94,58,479,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU7113,Mixer,376.21,136,,334,207,,,TRUE,TRUE,TRUE
2022,1,"Riddle, Robinson and Banks",SKU7117,Cider,322.5,145,42.53,423,289,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU7163,Cider,467.56,29,13.82,239,345,,,TRUE,TRUE,TRUE
2022,1,Vance Inc,SKU7258,Spirits,110.32,64,38.73,377,80,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU7397,Cider,116.61,191,33.01,381,346,,,TRUE,TRUE,TRUE
2022,1,Baker Group,SKU7510,Beer,487.57,12,21.98,-26,302,,,TRUE,TRUE,TRUE
2022,1,Mccoy Ltd,SKU7650,Cider,30.12,156,12.47,19,390,,,TRUE,TRUE,TRUE
2022,1,Cook-Gregory,SKU7675,Wine,481.31,97,29.93,152,410,,,TRUE,TRUE,TRUE
2022,1,Hayes-Burke,SKU7705,Spirits,409.44,42,32.57,0,453,,,TRUE,TRUE,TRUE
2022,1,Contreras and Sons,SKU7742,Mixer,449.21,109,34.19,366,491,,,TRUE,TRUE,TRUE
2022,1,BAUER LLC,SKU7755,Mixer,70.98,157,36.74,200,328,,,TRUE,TRUE,TRUE
2022,1,Black-Powers,SKU7774,Spirits,308.76,185,24.06,452,165,,,TRUE,TRUE,TRUE
2022,1,Thomas-Campos,SKU7797,Beer,106.75,136,17.6,87,246,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU7826,Spirits,463.82,135,8.07,320,79,,,TRUE,TRUE,TRUE
2022,1,"Perkins, Turner and Elliott",SKU7831,Mixer,476.69,56,27.6,96,471,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU7839,Wine,226.97,64,39.87,347,314,,,TRUE,TRUE,TRUE
2022,1,"Martinez, Fry and Wallace",SKU7917,Mixer,419.71,77,15.99,486,229,,,TRUE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU7968,Mixer,62.17,153,26.88,26,342,,,TRUE,TRUE,TRUE
2022,1,"Hanson, Morris and Moran",SKU7994,Spirits  ,372.22,132,44.47,-315,480,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU8022,Spirits  ,386.49,101,,223,213,,,TRUE,TRUE,TRUE
2022,1,"Tate, Callahan and Ford",SKU8064,Mixer,294.47,104,45.53,159,433,,,TRUE,TRUE,TRUE
2022,1,Patel Group,SKU8078,Spirits,339.03,35,,35,140,,,TRUE,TRUE,TRUE
2022,1,Martinez-Marquez,SKU8096,Wine,380.8,24,20.25,314,19,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Fleming and Adkins",SKU8098,Mixer,285.47,183,19.97,359,481,,,TRUE,TRUE,TRUE
2022,1,Rice Ltd,SKU8185,Cider,232.08,13,,226,97,,,TRUE,TRUE,TRUE
2022,1,"Sutton, Rogers and Rodriguez",SKU8226,Spirits,205.8,88,11.13,22,498,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU8259,Spirits,384.1,149,46.75,134,54,,,TRUE,TRUE,TRUE
2022,1,Moore-Williams,SKU8268,Cider,335.49,46,42.83,338,187,,,TRUE,TRUE,TRUE
2022,1,"Sutton, Rogers and Rodriguez",SKU8293,Cider,179.59,9,36.89,349,146,,,TRUE,TRUE,TRUE
2022,1,Baxter LLC,SKU8328,Mixer,101.88,195,15.25,56,387,,,TRUE,TRUE,TRUE
2022,1,Rivera-Swanson,SKU8376,Beer,84.33,65,36.55,413,344,,,TRUE,TRUE,TRUE
2022,1,Douglas PLC,SKU8386,Spirits,105.1,140,,118,57,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU8393,Spirits  ,355.96,85,5.16,334,20,,,TRUE,TRUE,TRUE
2022,1,Richardson-Ferguson,SKU8416,Spirits,150.94,84,6.84,271,438,,,TRUE,TRUE,TRUE
2022,1,Cook-Gregory,SKU8434,Beer  ,384.92,158,49.67,335,349,,,TRUE,TRUE,TRUE
2022,1,Black-Powers,SKU8498,Mixer,82.35,60,11.97,280,72,,,TRUE,TRUE,TRUE
2022,1,Black-Powers,SKU8531,Wine,186.59,129,17.83,205,388,,,TRUE,TRUE,TRUE
2022,1,Haynes LLC,SKU8551,Beer,233.69,25,9.84,412,67,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU8564,Beer  ,68.52,131,49.91,55,210,,,TRUE,TRUE,TRUE
2022,1,Haynes LLC,SKU8589,Beer,157.98,158,23.91,439,477,,,TRUE,TRUE,TRUE
2022,1,Mejia-Holmes,SKU8623,Spirits,469.61,47,N/A,194,292,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU8719,Cider,318.65,78,11.22,332,233,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU8740,Spirits,352.45,44,26.77,424,471,,,TRUE,TRUE,TRUE
2022,1,"Perez, Ray and Miller",SKU8742,Cider,28.09,123,36.58,399,92,,,TRUE,TRUE,TRUE
2022,1,HALL PLC,SKU8744,Cider,319.05,123,34.18,327,163,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU8756,Spirits  ,491.85,76,22.14,449,46,,,TRUE,TRUE,TRUE
2022,1,Contreras and Sons,SKU8880,Spirits,61.47,84,47.95,490,275,,,TRUE,TRUE,TRUE
2022,1,Lambert Inc,SKU8949,Mixer,298.07,46,19.94,258,177,,,TRUE,TRUE,TRUE
2022,1,"Peterson, Miles and Howard",SKU8972,Spirits,450.56,180,8.2,98,462,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU9007,Mixer,4.67,83,5.03,344,317,,,TRUE,TRUE,TRUE
2022,1,MARTINEZ-MARQUEZ,SKU9186,Spirits,421.91,46,17.17,77,302,,,TRUE,TRUE,TRUE
2022,1,"Reed, Harris and Wilson",SKU9210,Wine,151.17,140,26.64,-272,229,,,TRUE,TRUE,TRUE
2022,1,"Allen, Ramirez and Rodriguez",SKU9222,Wine,0.26,49,13.12,306,6,,,TRUE,TRUE,TRUE
2022,1,Jones-Jensen,SKU9279,Beer,163.45,182,7.68,168,40,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU9338,Spirits,185.88,160,N/A,79,429,,,TRUE,TRUE,TRUE
2022,1,"Hanson, Morris and Moran",SKU9435,Beer,73.92,115,23.61,237,322,,,TRUE,TRUE,TRUE
2022,1,JOHNSON GROUP,SKU9455,Beer,321.54,192,38.02,78,219,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Fleming and Adkins",SKU9470,Beer,420.71,187,16.26,496,73,,,TRUE,TRUE,TRUE
2022,1,Bauer LLC,SKU9495,Beer,285.84,184,31.39,434,407,,,TRUE,TRUE,TRUE
2022,1,"Anderson, Williams and Scott",SKU9524,Mixer,385.32,132,38.92,178,467,,,TRUE,TRUE,TRUE
2022,1,"Hanson, Morris and Moran",SKU9525,Beer,401.21,61,43.37,79,166,,,TRUE,TRUE,TRUE
2022,1,GRAHAM INC,SKU9534,Mixer,436.89,69,28.84,389,483,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU9542,Mixer,93.53,31,31.57,18,467,,,TRUE,TRUE,TRUE
2022,1,Douglas PLC,SKU9574,Mixer,169.07,94,37.33,232,178,,,TRUE,TRUE,TRUE
2022,1,Hayes-Burke,SKU9582,Beer,76.91,22,16.25,80,28,,,TRUE,TRUE,TRUE
2022,1,"ROBINSON, YOUNG AND GARCIA",SKU9615,Mixer,75.3,176,17.93,320,185,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Young and Garcia",SKU9659,Beer,196.16,5,27.89,161,21,,,TRUE,TRUE,TRUE
2022,1,"Johnson, Davis and Finley",SKU9779,Wine,28.91,22,29.38,409,121,,,TRUE,TRUE,TRUE
2022,1,"Robinson, Fleming and Adkins",SKU9791,Wine,63.51,181,32.99,222,236,,,TRUE,TRUE,TRUE
2022,1,Johnson Group,SKU9841,Mixer,13.57,54,30.81,306,176,,,TRUE,TRUE,TRUE
