year,month,supplier,item_code,item_type,retail_sales,retail_transfers,cost_per_unit,beg_inventory,end_inventory
2022,1,Padilla-Marquez,SKU2373,Beer,99.19,157,14.17,74,303
2022,1,Martinez-Marquez,SKU2388,Cider,196.77,156,9.37,363,227
2022,1,"Reed, Harris and Wilson",SKU2390,Spirits,616.0,151,24.64,123,174
2022,1,Cook-Gregory,SKU2431,Beer,130.56,139,5.44,285,270
2022,1,"MOORE, NOBLE AND WALLACE",SKU2444,Cider,46.17,91,5.13,197,254
2022,1,Edwards-Hudson,SKU2463,Spirits,684.84,21,26.34,115,408
2022,1,Baxter LLC,SKU2479,Spirits,1034.04,150,36.93,219,494
2022,1,Mejia-Holmes,SKU2480,Wine,119.63,139,17.09,299,453
2022,1,Baxter LLC,SKU2572,Spirits,226.03,85,32.29,214,297
2022,1,Glover-Johnson,SKU2648,Cider,255.84,34,9.84,336,313
2022,1,Martinez-Marquez,SKU2719,Mixer,28.08,182,3.51,164,132
2022,1,Baker Group,SKU2724,Beer,79.84,16,9.98,310,303
2022,1,"Allen, Ramirez and Rodriguez",SKU2745,Spirits,1082.97,94,51.57,459,365
2022,1,"Perkins, Turner and Elliott",SKU2800,Mixer,63.84,163,7.98,409,199
2022,1,Graham Inc,SKU2839,Beer,375.57,141,13.91,244,114
2022,1,Haynes LLC,SKU2857,Beer,139.6,103,13.96,163,429
2022,1,Graham Inc,SKU2874,Beer,294.3,34,10.9,178,83
2022,1,"Johnson, Davis and Finley",SKU2877,Mixer,97.05,84,6.47,83,89
2022,1,"Robinson, Fleming and Adkins",SKU2890,Cider,141.83,99,10.91,134,97
2022,1,Graham Inc,SKU2902,Mixer,46.9,51,4.69,330,382
2022,1,Vance Inc,SKU3084,Cider,267.75,10,10.71,200,156
2022,1,Rivera-Swanson,SKU3091,Beer,201.45,178,13.43,340,169
2022,1,"Robinson, Young and Garcia",SKU3105,Mixer,24.64,100,3.08,117,324
2022,1,"Tate, Callahan and Ford",SKU3154,Beer,51.95,78,10.39,94,231
2022,1,Rivera-Swanson,SKU3230,Mixer,71.44,31,3.76,126,197
2022,1,Rice Ltd,SKU3249,Mixer,106.34,8,4.09,220,125
2022,1,"Tate, Callahan and Ford",SKU3251,Wine,635.96,68,24.46,101,109
2022,1,"ROBINSON, YOUNG AND GARCIA",SKU3274,Spirits,426.33,104,47.37,163,288
2022,1,"Robinson, Young and Garcia",SKU3294,Spirits,614.9,25,27.95,116,311
2022,1,"Tate, Callahan and Ford",SKU3341,Spirits  ,682.8,133,34.14,146,386
2022,1,Guerrero-Sullivan,SKU3364,Beer,81.54,150,13.59,97,408
2022,1,Holt Ltd,SKU3397,Beer,50.04,129,5.56,131,142
2022,1,Baxter LLC,SKU3539,Cider  ,170.73,18,8.13,387,222
2022,1,Mccoy Ltd,SKU3598,Beer,305.5,162,11.75,153,336
2022,1,"Peterson, Miles and Howard",SKU3647,Mixer  ,137.5,171,5.5,94,306
2022,1,Martinez-Marquez,SKU3651,Spirits,1224.29,157,53.23,486,384
2022,1,"Perkins, Turner and Elliott",SKU3676,Wine,224.48,163,14.03,196,266
2022,1,"Hanson, Morris and Moran",SKU3706,Cider,139.8,117,11.65,142,374
2022,1,Martinez-Marquez,SKU3710,Spirits,507.78,181,39.06,105,364
2022,1,Jones-Jensen,SKU3734,Wine,375.55,175,12.95,136,70
2022,1,Guerrero-Sullivan,SKU3892,Wine,103.74,20,14.82,302,358
2022,1,Romero Inc,SKU3991,Mixer,77.18,108,4.54,227,68
2022,1,"Johnson, Davis and Finley",SKU4011,Wine,314.44,16,11.23,284,448
2022,1,"Perkins, Turner and Elliott",SKU4022,Wine,543.24,173,20.12,263,244
2022,1,Black-Powers,SKU4064,Wine  ,265.65,59,17.71,172,493
2022,1,Rice Ltd,SKU4114,Cider,110.16,86,6.48,242,175
2022,1,Douglas PLC,SKU4200,Beer  ,115.72,149,5.26,460,176
2022,1,Baker Group,SKU4201,Beer,261.8,187,9.35,214,329
2022,1,"Sutton, Rogers and Rodriguez",SKU4221,Spirits,1142.89,102,39.41,219,306
2022,1,Contreras and Sons,SKU4234,Mixer,110.16,13,6.48,223,245
2022,1,"Perez, Ray and Miller",SKU4372,Cider,278.46,89,10.71,379,344
2022,1,Jones-Jensen,SKU4423,Mixer,49.32,62,5.48,476,436
2022,1,Jones-Jensen,SKU4426,Beer,190.96,19,6.82,219,349
2022,1,"Johnson, Davis and Finley",SKU4447,Cider,262.08,150,10.92,192,352
2022,1,Johnson Group,SKU4449,Cider,147.15,5,5.45,177,163
2022,1,Cobb Group,SKU4457,Spirits,692.38,58,53.26,335,344
2022,1,Johnson Group,SKU4468,Mixer,157.92,69,7.52,61,231
2022,1,"Mcknight, Lopez and Wilson",SKU4469,Beer,206.08,69,14.72,258,306
2022,1,Lambert Inc,SKU4483,Spirits,597.1,107,59.71,57,391
2022,1,Richardson-Ferguson,SKU4520,Spirits,610.48,164,46.96,76,69
2022,1,Moore-Williams,SKU4548,Wine,325.92,137,23.28,145,206
2022,1,Rivera-Swanson,SKU4568,Spirits,236.55,175,47.31,391,118
2022,1,Romero Inc,SKU4579,Spirits,1670.2,66,59.65,223,394
2022,1,Contreras and Sons,SKU4655,Cider  ,222.43,1,7.67,402,124
2022,1,"Anderson, Williams and Scott",SKU4694,Cider,149.63,91,11.51,52,292
2022,1,Patel Group,SKU4714,Beer,147.56,68,8.68,110,185
2022,1,Padilla-Marquez,SKU4735,Wine,286.2,57,14.31,495,264
2022,1,Thomas-Campos,SKU4740,Mixer,46.02,11,7.67,155,61
2022,1,"Reed, Harris and Wilson",SKU4780,Wine,81.28,51,10.16,496,302
2022,1,Rivera-Swanson,SKU4917,Wine  ,227.8,54,22.78,159,89
2022,1,"Allen, Ramirez and Rodriguez",SKU4976,Mixer,57.2,121,5.2,184,435
2022,1,Graham Inc,SKU5057,Mixer,80.46,179,4.47,271,421
2022,1,Contreras and Sons,SKU5166,Spirits,1170.73,54,40.37,102,266
2022,1,Bauer LLC,SKU5213,Spirits,851.5,111,32.75,473,247
2022,1,Douglas PLC,SKU5218,Spirits,861.03,105,31.89,436,364
2022,1,"Mcknight, Lopez and Wilson",SKU5231,Mixer,71.68,159,4.48,204,227
2022,1,"Riddle, Robinson and Banks",SKU5279,Cider,146.44,47,10.46,242,432
2022,1,"Anderson, Williams and Scott",SKU5307,Spirits,550.8,84,32.4,61,280
2022,1,"Riddle, Robinson and Banks",SKU5372,Wine,101.16,70,16.86,96,285
2022,1,Vance Inc,SKU5397,Mixer,80.0,158,5.0,463,407
2022,1,"ROBINSON, FLEMING AND ADKINS",SKU5436,Wine,296.0,138,18.5,492,220
2022,1,"Peterson, Miles and Howard",SKU5484,Beer  ,115.5,131,7.7,103,379
2022,1,"HANSON, MORRIS AND MORAN",SKU5510,Beer,76.77,86,8.53,75,276
2022,1,"Perez, Ray and Miller",SKU5512,Wine,222.64,122,10.12,397,246
2022,1,Baker Group,SKU5652,Cider,188.25,77,7.53,167,348
2022,1,Vance Inc,SKU5661,Cider,154.19,150,9.07,436,142
2022,1,Lambert Inc,SKU5667,Cider,126.94,146,11.54,338,168
2022,1,Mejia-Holmes,SKU5710,Cider,281.32,99,10.82,345,318
2022,1,Moore-Williams,SKU5715,Spirits  ,697.92,171,58.16,183,479
2022,1,Rivera-Swanson,SKU5732,Cider,141.0,37,11.75,76,92
2022,1,"Moore, Noble and Wallace",SKU5836,Spirits,681.87,198,32.47,331,481
2022,1,Cook-Gregory,SKU5864,Beer,225.6,178,14.1,57,360
2022,1,Black-Powers,SKU5897,Cider  ,65.12,198,5.92,306,280
2022,1,Cook-Gregory,SKU5936,Cider,63.4,46,6.34,361,379
2022,1,Rice Ltd,SKU5965,Wine,140.4,121,15.6,475,273
2022,1,"Robinson, Young and Garcia",SKU6011,Beer  ,148.4,48,7.42,297,431
2022,1,"Perkins, Turner and Elliott",SKU6015,Wine,296.31,119,14.11,452,134
2022,1,Padilla-Marquez,SKU6095,Mixer,140.22,31,7.38,147,213
2022,1,Glover-Johnson,SKU6097,Spirits,626.96,85,36.88,301,422
2022,1,Johnson Group,SKU6119,Spirits,489.15,6,32.61,143,282
2022,1,Bauer LLC,SKU6227,Beer,86.58,11,9.62,318,355
2022,1,"Robinson, Fleming and Adkins",SKU6273,Wine,209.3,109,14.95,99,338
2022,1,Johnson Group,SKU6377,Beer,271.75,160,10.87,496,121
2022,1,"Martinez, Fry and Wallace",SKU6390,Cider,69.92,156,8.74,376,99
2022,1,Patel Group,SKU6432,Spirits,271.76,110,33.97,286,418
2022,1,Lambert Inc,SKU6477,Wine,226.56,15,14.16,227,322
2022,1,Edwards-Hudson,SKU6484,Cider,75.74,38,5.41,251,469
2022,1,"Perez, Ray and Miller",SKU6508,Mixer,58.5,162,3.9,207,283
2022,1,"Peterson, Miles and Howard",SKU6518,Beer,190.26,128,9.06,431,50
2022,1,Johnson Group,SKU6584,Beer,162.81,143,6.03,79,118
2022,1,Hall PLC,SKU6667,Mixer,207.09,67,7.67,286,116
2022,1,"Anderson, Williams and Scott",SKU6706,Spirits,324.36,116,36.04,385,268
2022,1,Jones-Jensen,SKU6739,Wine,113.68,128,14.21,467,238
2022,1,Jones-Jensen,SKU6787,Beer,59.6,39,11.92,341,166
2022,1,Bauer LLC,SKU6847,Wine,121.8,25,24.36,331,333
2022,1,Padilla-Marquez,SKU6925,Cider,114.66,4,6.37,183,479
2022,1,Graham Inc,SKU6995,Mixer,100.64,160,5.92,102,98
2022,1,"Sutton, Rogers and Rodriguez",SKU7024,Mixer,108.94,179,4.19,407,76
2022,1,Patel Group,SKU7049,Cider,205.2,167,10.8,414,189
2022,1,Martinez-Marquez,SKU7107,Mixer,33.66,89,3.06,58,479
2022,1,Patel Group,SKU7113,Mixer,118.25,136,4.73,334,207
2022,1,"Riddle, Robinson and Banks",SKU7117,Cider,67.92,145,5.66,423,289
2022,1,"Reed, Harris and Wilson",SKU7163,Cider,70.72,29,8.84,239,345
2022,1,Vance Inc,SKU7258,Spirits,176.46,64,29.41,377,80
2022,1,"Tate, Callahan and Ford",SKU7397,Cider,66.0,191,5.5,381,346
2022,1,Baker Group,SKU7510,Beer,306.18,12,11.34,145,302
2022,1,Mccoy Ltd,SKU7650,Cider,106.02,156,5.89,183,390
2022,1,Cook-Gregory,SKU7675,Wine,195.52,97,24.44,152,410
2022,1,Hayes-Burke,SKU7705,Spirits,812.97,42,30.11,204,453
2022,1,Contreras and Sons,SKU7742,Mixer,30.8,109,6.16,366,491
2022,1,BAUER LLC,SKU7755,Mixer,36.6,157,6.1,200,328
2022,1,Black-Powers,SKU7774,Spirits,848.48,185,53.03,452,165
2022,1,Thomas-Campos,SKU7797,Beer,198.12,136,7.62,87,246
2022,1,"Johnson, Davis and Finley",SKU7826,Spirits,1299.27,135,56.49,320,79
2022,1,"Perkins, Turner and Elliott",SKU7831,Mixer,78.6,56,6.55,96,471
2022,1,"Peterson, Miles and Howard",SKU7839,Wine,558.09,64,20.67,347,314
2022,1,"Martinez, Fry and Wallace",SKU7917,Mixer,50.82,77,4.62,486,229
2022,1,Mejia-Holmes,SKU7968,Mixer,65.52,153,3.12,425,342
2022,1,"Hanson, Morris and Moran",SKU7994,Spirits  ,766.95,132,51.13,315,480
2022,1,"Anderson, Williams and Scott",SKU8022,Spirits  ,459.5,101,45.95,223,213
2022,1,"Tate, Callahan and Ford",SKU8064,Mixer,35.07,104,5.01,159,433
2022,1,Patel Group,SKU8078,Spirits,440.79,35,20.99,283,140
2022,1,Martinez-Marquez,SKU8096,Wine,123.84,24,15.48,314,445
2022,1,"Robinson, Fleming and Adkins",SKU8098,Mixer,102.62,183,7.33,359,481
2022,1,Rice Ltd,SKU8185,Cider,99.75,13,6.65,226,97
2022,1,"Sutton, Rogers and Rodriguez",SKU8226,Spirits,657.51,88,31.31,373,498
2022,1,Jones-Jensen,SKU8259,Spirits,1076.76,149,39.88,134,54
2022,1,Moore-Williams,SKU8268,Cider,219.24,46,7.56,338,187
2022,1,"Sutton, Rogers and Rodriguez",SKU8293,Cider,68.88,9,8.61,349,146
2022,1,Baxter LLC,SKU8328,Mixer,159.21,195,5.49,56,387
2022,1,Rivera-Swanson,SKU8376,Beer,73.5,65,5.25,413,344
2022,1,Douglas PLC,SKU8386,Spirits,301.86,140,23.22,118,57
2022,1,"Allen, Ramirez and Rodriguez",SKU8393,Spirits  ,621.66,85,47.82,334,199
2022,1,Richardson-Ferguson,SKU8416,Spirits,183.19,84,26.17,271,438
2022,1,Cook-Gregory,SKU8434,Beer  ,59.64,158,9.94,335,349
2022,1,Black-Powers,SKU8498,Mixer,56.88,60,4.74,280,72
2022,1,Black-Powers,SKU8531,Wine,219.96,129,12.22,205,388
2022,1,Haynes LLC,SKU8551,Beer,280.5,25,11.22,412,67
2022,1,"Peterson, Miles and Howard",SKU8564,Beer  ,134.2,131,6.1,55,210
2022,1,Haynes LLC,SKU8589,Beer,269.85,158,12.85,439,477
2022,1,Mejia-Holmes,SKU8623,Spirits,1356.0,47,56.5,194,292
2022,1,"Reed, Harris and Wilson",SKU8719,Cider,296.8,78,10.6,332,233
2022,1,"Reed, Harris and Wilson",SKU8740,Spirits,970.84,44,37.34,424,471
2022,1,"Perez, Ray and Miller",SKU8742,Cider,75.04,123,9.38,399,92
2022,1,HALL PLC,SKU8744,Cider,42.9,123,7.15,327,163
2022,1,Johnson Group,SKU8756,Spirits  ,1095.64,76,42.14,449,181
2022,1,Contreras and Sons,SKU8880,Spirits,377.1,84,41.9,490,275
2022,1,Lambert Inc,SKU8949,Mixer,111.55,46,4.85,258,177
2022,1,"Peterson, Miles and Howard",SKU8972,Spirits,361.02,180,32.82,98,462
2022,1,"Reed, Harris and Wilson",SKU9007,Mixer,116.6,83,5.83,344,317
2022,1,MARTINEZ-MARQUEZ,SKU9186,Spirits,241.68,46,30.21,77,302
2022,1,"Reed, Harris and Wilson",SKU9210,Wine,526.47,140,22.89,272,229
2022,1,"Allen, Ramirez and Rodriguez",SKU9222,Wine,555.45,49,24.15,306,426
2022,1,Jones-Jensen,SKU9279,Beer,92.4,182,13.2,168,215
2022,1,"Johnson, Davis and Finley",SKU9338,Spirits,310.52,160,22.18,79,429
2022,1,"Hanson, Morris and Moran",SKU9435,Beer,63.27,115,7.03,237,322
2022,1,JOHNSON GROUP,SKU9455,Beer,127.8,192,10.65,78,219
2022,1,"Robinson, Fleming and Adkins",SKU9470,Beer,178.06,187,6.14,496,73
2022,1,Bauer LLC,SKU9495,Beer,244.46,184,14.38,434,407
2022,1,"Anderson, Williams and Scott",SKU9524,Mixer,118.02,132,5.62,178,467
2022,1,"Hanson, Morris and Moran",SKU9525,Beer,75.35,61,6.85,79,166
2022,1,GRAHAM INC,SKU9534,Mixer,180.32,69,6.44,389,483
2022,1,"Johnson, Davis and Finley",SKU9542,Mixer,92.95,31,7.15,104,467
2022,1,Douglas PLC,SKU9574,Mixer,52.56,94,4.38,232,178
2022,1,Hayes-Burke,SKU9582,Beer,193.16,22,8.78,80,170
2022,1,"ROBINSON, YOUNG AND GARCIA",SKU9615,Mixer,176.32,176,6.08,320,185
2022,1,"Robinson, Young and Garcia",SKU9659,Beer,191.4,5,6.6,161,253
2022,1,"Johnson, Davis and Finley",SKU9779,Wine,447.09,22,21.29,409,121
2022,1,"Robinson, Fleming and Adkins",SKU9791,Wine,222.18,181,10.58,222,236
2022,1,Johnson Group,SKU9841,Mixer,79.39,54,4.67,306,176
2022,1,Mccoy Ltd,SKU9843,Mixer,32.8,45,3.28,143,270
2022,1,Graham Inc,SKU9859,Beer,125.84,119,5.72,107,188
2022,1,Rice Ltd,SKU9879,Mixer,108.87,133,5.73,459,323
2022,1,Romero Inc,SKU10003,Spirits,408.15,169,27.21,442,498
2022,1,Cook-Gregory,SKU10051,Wine,511.77,153,24.37,277,371
2022,1,"Robinson, Fleming and Adkins",SKU10060,Wine,408.03,50,14.07,151,316
2022,1,Martinez-Marquez,SKU10074,Cider,279.99,129,10.37,470,173
2022,1,Padilla-Marquez,SKU10088,Cider,81.0,119,8.1,176,314
2022,1,Cobb Group,SKU10117,Cider,292.75,193,11.71,101,393
2022,1,MOORE-WILLIAMS,SKU10131,Spirits,340.86,94,56.81,207,345
2022,1,Padilla-Marquez,SKU10162,Mixer,106.0,34,4.24,69,430
2022,1,"Johnson, Davis and Finley",SKU10207,Spirits,470.79,29,52.31,208,56
2022,1,Johnson Group,SKU10268,Wine,130.13,170,10.01,461,438
2022,1,"Anderson, Williams and Scott",SKU10275,Cider,200.76,14,7.17,328,306
2022,1,Hall PLC,SKU10396,Beer,66.35,80,13.27,381,74
2022,1,Richardson-Ferguson,SKU10430,Cider,60.06,183,8.58,440,123
2022,1,Glover-Johnson,SKU10487,Cider,145.82,175,6.34,408,298
2022,1,"Strong, Elliott and Parsons",SKU10493,Beer,160.05,67,14.55,207,378
2022,1,Bauer LLC,SKU10498,Beer,129.12,171,8.07,411,388
2022,1,"Mcknight, Lopez and Wilson",SKU10508,Cider,262.32,89,10.93,213,191
2022,1,Johnson Group,SKU10546,Beer,139.57,130,8.21,445,165
2022,1,HALL PLC,SKU10591,Spirits,704.5,38,28.18,148,450
2022,1,"Mcknight, Lopez and Wilson",SKU10631,Cider,111.18,64,6.54,206,254
2022,1,"Tate, Callahan and Ford",SKU10655,Cider,220.98,174,7.62,276,102
2022,1,"Johnson, Davis and Finley",SKU10714,Mixer,50.64,38,4.22,259,370
2022,1,"Strong, Elliott and Parsons",SKU10727,Spirits,463.2,35,57.9,491,416
2022,1,Moore-Williams,SKU10753,Wine  ,419.9,108,22.1,75,304
2022,1,Jones-Jensen,SKU10785,Wine,199.1,22,19.91,467,356
2022,1,Padilla-Marquez,SKU10882,Cider,41.46,145,6.91,250,449
2022,1,Bauer LLC,SKU10927,Beer,66.8,141,6.68,481,309
2022,1,Bauer LLC,SKU10948,Beer,32.22,142,5.37,250,371
2023,1,PADILLA-MARQUEZ,SKU1016,Beer,219.78,123,12.21,201,256
2023,1,"Perez, Ray and Miller",SKU1019,Wine,590.46,164,22.71,439,125
2023,1,Vance Inc,SKU1032,Beer,235.2,34,9.8,171,107
2023,1,Cook-Gregory,SKU1033,Spirits,714.34,115,32.47,126,483
2023,1,RIVERA-SWANSON,SKU1048,Mixer,154.28,56,5.32,101,307
2023,1,"Johnson, Davis and Finley",SKU1054,Spirits,562.56,52,35.16,152,136
2023,1,"Tate, Callahan and Ford",SKU1071,Wine,296.78,164,13.49,137,310
2023,1,Douglas PLC,SKU1076,Cider,48.05,104,9.61,439,457
2023,1,"Hanson, Morris and Moran",SKU1085,Wine,119.35,109,23.87,207,423
2023,1,Rivera-Swanson,SKU1115,Spirits,920.36,88,32.87,187,171
2023,1,"Strong, Elliott and Parsons",SKU1119,Cider,173.88,25,9.66,134,299
2023,1,Padilla-Marquez,SKU1171,Spirits,197.05,158,28.15,363,421
2023,1,"Sutton, Rogers and Rodriguez",SKU1201,Cider,188.25,91,7.53,394,292
2023,1,Bauer LLC,SKU1204,Spirits,1028.5,49,41.14,87,112
2023,1,Graham Inc,SKU1222,Cider,127.4,28,9.1,225,263
2023,1,BLACK-POWERS,SKU1226,Cider,85.96,177,6.14,372,384
2023,1,"Sutton, Rogers and Rodriguez",SKU1243,Spirits,1054.5,172,42.18,74,176
2023,1,"Peterson, Miles and Howard",SKU1271,Cider  ,162.18,30,9.54,389,366
2023,1,Rice Ltd,SKU1305,Cider,215.82,182,11.99,153,132
2023,1,Martinez-Marquez,SKU1365,Spirits,375.9,129,25.06,274,108
2023,1,"Reed, Harris and Wilson",SKU1383,Mixer,65.91,79,5.07,108,76
2023,1,Martinez-Marquez,SKU1433,Spirits,388.0,42,24.25,320,179
2023,1,"Allen, Ramirez and Rodriguez",SKU1434,Beer,184.73,132,14.21,149,378
2023,1,Mccoy Ltd,SKU1452,Beer,98.04,37,8.17,226,51
2023,1,Johnson Group,SKU1458,Cider,227.01,18,9.87,214,387
2023,1,Glover-Johnson,SKU1477,Wine,282.88,33,21.76,78,129
2023,1,"Allen, Ramirez and Rodriguez",SKU1490,Wine,136.15,65,19.45,259,115
2023,1,"Mcknight, Lopez and Wilson",SKU1501,Cider  ,167.4,88,11.16,287,101
2023,1,Haynes LLC,SKU1503,Spirits,581.28,20,41.52,114,104
2023,1,Johnson Group,SKU1508,Mixer,65.12,173,4.07,208,408
2023,1,Bauer LLC,SKU1539,Mixer,208.17,96,7.71,99,85
2023,1,Haynes LLC,SKU1574,Spirits,544.2,125,36.28,342,92
2023,1,Bauer LLC,SKU1589,Mixer,167.67,139,7.29,387,253
2023,1,"Robinson, Young and Garcia",SKU1607,Spirits,430.74,35,23.93,165,317
2023,1,Douglas PLC,SKU1711,Cider,196.0,18,7.0,273,426
2023,1,Rice Ltd,SKU1720,Cider,78.39,98,8.71,85,188
2023,1,"TATE, CALLAHAN AND FORD",SKU1787,Wine,261.0,195,10.44,405,390
2023,1,Moore-Williams,SKU1804,Wine,278.54,68,14.66,361,188
2023,1,Baxter LLC,SKU1827,Spirits,246.72,41,41.12,82,134
2023,1,"Moore, Noble and Wallace",SKU1845,Beer,206.01,138,7.63,288,192
2023,1,"Martinez, Fry and Wallace",SKU1871,Cider,161.26,82,7.33,493,57
2023,1,Douglas PLC,SKU1913,Beer,234.6,38,13.8,320,210
2023,1,"Strong, Elliott and Parsons",SKU1921,Wine,327.41,30,11.29,355,317
2023,1,Edwards-Hudson,SKU1925,Wine,148.26,107,10.59,63,87
2023,1,Graham Inc,SKU1929,Spirits,658.13,10,59.83,322,117
2023,1,Bauer LLC,SKU1941,Beer,99.2,140,9.92,363,296
2023,1,Moore-Williams,SKU1949,Mixer,73.71,61,3.51,463,377
2023,1,Hall PLC,SKU2074,Spirits,372.64,37,23.29,300,463
2023,1,"Moore, Noble and Wallace",SKU2120,Wine,563.52,108,23.48,330,436
2023,1,"Sutton, Rogers and Rodriguez",SKU2184,Cider,111.32,17,5.06,469,125
2023,1,Martinez-Marquez,SKU2202,Cider,56.43,130,5.13,72,228
2023,1,Holt Ltd,SKU2287,Spirits,592.76,26,42.34,361,357
2023,1,Hayes-Burke,SKU2298,Beer,143.55,183,9.57,167,158
2023,1,"Perez, Ray and Miller",SKU2333,Beer,341.38,106,13.13,266,455
2023,1,Thomas-Campos,SKU2379,Mixer,127.62,8,7.09,321,481
2023,1,"Perkins, Turner and Elliott",SKU2420,Wine,180.1,93,18.01,217,138
2023,1,"Ayers, Morales and Jordan",SKU2527,Beer,233.22,162,10.14,263,173
2023,1,Edwards-Hudson,SKU2535,Mixer,51.0,96,5.1,55,194
2023,1,"Perkins, Turner and Elliott",SKU2580,Cider,217.14,95,10.34,146,493
2023,1,Edwards-Hudson,SKU2616,Mixer,150.88,65,6.56,123,352
2023,1,Holt Ltd,SKU2625,Wine,208.89,32,18.99,154,69
2023,1,Guerrero-Sullivan,SKU2691,Cider  ,167.39,80,8.81,295,268
2023,1,Padilla-Marquez,SKU2712,Wine,401.04,10,16.71,378,302
2023,1,Padilla-Marquez,SKU2749,Wine  ,367.68,110,22.98,271,183
2023,1,Rivera-Swanson,SKU2900,Cider  ,197.34,179,8.58,399,230
2023,1,Hall PLC,SKU2901,Cider,159.46,64,9.38,452,490
2023,1,Mejia-Holmes,SKU2944,Cider,139.92,138,6.36,185,341
2023,1,Mccoy Ltd,SKU2982,Cider,180.24,140,7.51,336,231
2023,1,Vance Inc,SKU3040,Cider,161.5,22,6.46,329,442
2023,1,"Sutton, Rogers and Rodriguez",SKU3041,Wine,497.49,38,21.63,498,299
